1: ([37.443581, -122.377082], [37.663916, -122.104817])
2: ([37.500686, -122.316313], [37.460001, -122.353173])
3: ([37.808159, -122.083682], [37.772635, -122.041512])
4: ([37.533356, -122.135215], [37.817432, -122.101402])
5: ([37.659390, -122.093740], [37.705826, -122.250120])
6: ([37.536954, -122.214130], [37.615933, -122.138005])
7: ([37.779412, -122.162436], [37.561456, -122.144913])
8: ([37.567068, -122.079355], [37.457104, -122.331767])
9: ([37.569597, -122.369154], [37.746906, -122.282846])
10: ([37.725750, -122.144316], [37.443429, -122.310432])
11: ([37.805767, -122.119756], [37.685038, -122.154124])
12: ([37.539337, -122.260992], [37.457381, -122.310588])
13: ([37.437083, -122.083456], [37.498526, -122.308696])
14: ([37.793171, -122.381781], [37.635297, -122.148687])
15: ([37.789931, -122.216768], [37.578574, -122.277099])
